treeid,female,male,prov,block,plot,height,diameter,volume
191_1_1_1,191,0,10,1,1,10.7,15,0.0722
191_1_1_2,191,0,10,1,1,11.5,22,0.167
191_1_1_3,191,0,10,1,1,12.1,23.8,0.2056
191_1_1_4,191,0,10,1,1,12,22.7,0.1855
191_1_1_5,191,0,10,1,1,12.2,21.5,0.1692
191_1_1_6,191,0,10,1,1,12.5,22.8,0.1949
192_1_2_1,192,0,10,1,2,12.8,24.1,0.223
192_1_2_2,192,0,10,1,2,12,19.8,0.1411
192_1_2_4,192,0,10,1,2,13.9,23.4,0.2283
192_1_2_6,192,0,10,1,2,13.1,22.1,0.1919
170_1_3_1,170,0,10,1,3,12.5,19.6,0.1441
170_1_3_2,170,0,10,1,3,9,11.2,0.0339
170_1_3_5,170,0,10,1,3,10.7,17.8,0.1017
210_1_4_4,210,0,12,1,4,11.1,23.2,0.1792
210_1_4_5,210,0,12,1,4,11.5,21.6,0.161
210_1_4_6,210,0,12,1,4,11,17.5,0.1011
216_1_5_1,216,0,12,1,5,8.5,11.1,0.0314
216_1_5_2,216,0,12,1,5,13.4,18.9,0.1436
216_1_5_3,216,0,12,1,5,10.6,16.9,0.0908
216_1_5_4,216,0,12,1,5,8.8,13.7,0.0496
216_1_5_5,216,0,12,1,5,7.7,9,0.0187
216_1_5_6,216,0,12,1,5,11.8,24.4,0.2108
211_1_6_1,211,0,12,1,6,12.2,22.4,0.1836
211_1_6_2,211,0,12,1,6,9.5,15,0.0641
211_1_6_3,211,0,12,1,6,15.2,26.2,0.313
211_1_6_4,211,0,12,1,6,12.1,22.4,0.1821
211_1_6_5,211,0,12,1,6,12.4,23.3,0.202
211_1_6_6,211,0,12,1,6,11.3,20.2,0.1383
212_1_7_1,212,0,12,1,7,12.6,21.9,0.1813
212_1_7_2,212,0,12,1,7,11,17.9,0.1057
212_1_7_3,212,0,12,1,7,12.2,20.2,0.1493
212_1_7_4,212,0,12,1,7,11.5,19.4,0.1298
212_1_7_5,212,0,12,1,7,9.1,16.7,0.0761
212_1_7_6,212,0,12,1,7,10.5,18.3,0.1055
217_1_8_1,217,0,12,1,8,12.4,22.8,0.1934
217_1_8_3,217,0,12,1,8,12.7,23.3,0.2068
217_1_8_4,217,0,12,1,8,10.6,18.5,0.1088
217_1_8_5,217,0,12,1,8,12.3,20.8,0.1596
217_1_8_6,217,0,12,1,8,11.8,22.3,0.176
224_1_9_1,224,0,12,1,9,10.2,16.7,0.0853
224_1_9_2,224,0,12,1,9,11.9,22.8,0.1856
224_1_9_4,224,0,12,1,9,10.8,22.3,0.1611
224_1_9_6,224,0,12,1,9,9.3,14,0.0547
219_1_10_1,219,0,12,1,10,11.6,20.2,0.142
219_1_10_2,219,0,12,1,10,10.2,17.2,0.0905
219_1_10_3,219,0,12,1,10,10.5,20.2,0.1285
219_1_10_4,219,0,12,1,10,5.2,5.7,0.0051
219_1_10_5,219,0,12,1,10,10.5,19.4,0.1186
219_1_10_6,219,0,12,1,10,7.8,8.3,0.0161
225_1_11_1,225,0,12,1,11,12.3,22.9,0.1935
225_1_11_2,225,0,12,1,11,11.5,21.1,0.1536
225_1_11_3,225,0,12,1,11,11.5,18.6,0.1194
225_1_11_4,225,0,12,1,11,11.2,21.2,0.151
225_1_11_5,225,0,12,1,11,10.5,17.1,0.0921
225_1_11_6,225,0,12,1,11,12.1,20.3,0.1496
218_1_12_1,218,0,12,1,12,12.5,22,0.1815
218_1_12_3,218,0,12,1,12,10.7,13.2,0.0559
218_1_12_4,218,0,12,1,12,11.3,16,0.0868
218_1_12_5,218,0,12,1,12,10.5,18.9,0.1125
218_1_12_6,218,0,12,1,12,11.4,22.2,0.1686
213_1_13_2,213,0,12,1,13,12.6,22.7,0.1948
213_1_13_3,213,0,12,1,13,11.5,23.5,0.1905
213_1_13_5,213,0,12,1,13,11.6,22,0.1684
213_1_13_6,213,0,12,1,13,12.2,23.2,0.197
227_1_14_1,227,0,12,1,14,11.2,21.3,0.1524
227_1_14_2,227,0,12,1,14,12,23.1,0.1921
227_1_14_3,227,0,12,1,14,11.9,23.4,0.1955
226_1_15_1,226,0,12,1,15,10,14.4,0.0622
226_1_15_2,226,0,12,1,15,12.3,22.7,0.1901
226_1_15_3,226,0,12,1,15,12.4,26,0.2515
226_1_15_4,226,0,12,1,15,12.6,25.3,0.242
226_1_15_6,226,0,12,1,15,12.6,24.1,0.2195
207_1_16_1,207,0,11,1,16,10.7,15.8,0.0801
207_1_16_2,207,0,11,1,16,12.1,16.7,0.1012
207_1_16_4,207,0,11,1,16,9.2,15.1,0.0629
207_1_16_5,207,0,11,1,16,11.6,21.8,0.1654
207_1_16_6,207,0,11,1,16,11.9,20.4,0.1486
206_1_17_1,206,0,11,1,17,11.2,20.2,0.1371
206_1_17_2,206,0,11,1,17,12.1,20.5,0.1526
206_1_17_3,206,0,11,1,17,9.5,25.3,0.1824
206_1_17_4,206,0,11,1,17,9.7,17.4,0.0881
206_1_17_5,206,0,11,1,17,8.5,13.2,0.0444
206_1_17_6,206,0,11,1,17,11.5,19.7,0.1339
201_1_18_2,201,0,11,1,18,10.4,19.5,0.1186
201_1_18_3,201,0,11,1,18,9.4,17,0.0815
201_1_18_6,201,0,11,1,18,7.1,10.8,0.0248
196_1_19_2,196,0,11,1,19,12.6,25.2,0.24
196_1_19_3,196,0,11,1,19,7.5,14.5,0.0473
196_1_19_6,196,0,11,1,19,10.9,22.2,0.1612
200_1_20_1,200,0,11,1,20,10.9,21.6,0.1526
200_1_20_2,200,0,11,1,20,10.8,16.9,0.0925
200_1_20_3,200,0,11,1,20,12,18.5,0.1232
200_1_20_5,200,0,11,1,20,11.2,18.4,0.1138
200_1_20_6,200,0,11,1,20,11.4,20.3,0.1409
202_1_21_2,202,0,11,1,21,9.9,17.5,0.091
202_1_21_3,202,0,11,1,21,10.3,14.5,0.065
202_1_21_4,202,0,11,1,21,11.2,16.9,0.096
202_1_21_5,202,0,11,1,21,11.8,19.3,0.1319
202_1_21_6,202,0,11,1,21,11.2,19.5,0.1278
205_1_22_2,205,0,11,1,22,9.8,19,0.1061
205_1_22_3,205,0,11,1,22,11.5,20.7,0.1478
205_1_22_5,205,0,11,1,22,12.8,19.3,0.143
205_1_22_6,205,0,11,1,22,9.9,14.3,0.0607
204_1_23_1,204,0,11,1,23,12,22.7,0.1855
204_1_23_2,204,0,11,1,23,12.3,25.3,0.2362
204_1_23_3,204,0,11,1,23,13.5,27.8,0.313
204_1_23_4,204,0,11,1,23,12.3,22,0.1786
204_1_23_5,204,0,11,1,23,12.3,23.7,0.2073
204_1_23_6,204,0,11,1,23,12.2,24.2,0.2143
197_1_24_2,197,0,11,1,24,12.8,20.8,0.1661
197_1_24_6,197,0,11,1,24,11.8,19.6,0.136
203_1_25_1,203,0,11,1,25,8.8,12.7,0.0426
203_1_25_2,203,0,11,1,25,11.5,19.5,0.1312
203_1_25_3,203,0,11,1,25,10.6,21,0.1402
203_1_25_4,203,0,11,1,25,10.7,19,0.1159
203_1_25_5,203,0,11,1,25,13.3,26.5,0.2802
203_1_25_6,203,0,11,1,25,10.6,15.5,0.0764
198_1_26_2,198,0,11,1,26,11.7,21.5,0.1622
198_1_26_4,198,0,11,1,26,10.7,15.7,0.0791
198_1_26_5,198,0,11,1,26,11.5,17.2,0.1021
198_1_26_6,198,0,11,1,26,11.9,21.3,0.162
233_1_27_2,233,0,13,1,27,11.8,22.6,0.1808
233_1_27_3,233,0,13,1,27,10.7,19.7,0.1246
233_1_27_4,233,0,13,1,27,7.7,10,0.0231
233_1_27_5,233,0,13,1,27,9.9,17.1,0.0868
233_1_27_6,233,0,13,1,27,9.3,16.3,0.0741
231_1_28_1,231,0,13,1,28,11.7,22.9,0.1841
231_1_28_2,231,0,13,1,28,10.2,19.6,0.1176
231_1_28_3,231,0,13,1,28,13.6,21.4,0.1868
231_1_28_4,231,0,13,1,28,10.1,17.2,0.0896
231_1_28_5,231,0,13,1,28,11.4,20.6,0.1451
231_1_28_6,231,0,13,1,28,8.8,14.9,0.0586
